"edge","bx","by","sx","sy"
"BMI -> CAD",0.0249,0.02848167,0.0018,0.0054475168
"BMI -> CAD",0.0141,-0.00132027,0.0019,0.0058571452
"BMI -> CAD",0.0235,0.02337013,0.0018,0.0052281936
"BMI -> CAD",0.0115,0.0038159,0.002,0.0061605266
"BMI -> CAD",0.0177,0.00539887,0.0022,0.0063778102
"BMI -> CAD",0.011,-0.00182707,0.0018,0.0051990856
"BMI -> CAD",0.0144,0.00429426,0.0017,0.0049978296
"BMI -> CAD",0.0115,0.00315353,0.0017,0.0051846228
"BMI -> CAD",0.0139,0.0118098,0.002,0.0057753177
"BMI -> CAD",0.0158,0.00974096,0.002,0.0057374631
"BMI -> CAD",0.0145,-0.00206988,0.0023,0.0063774183
"BMI -> CAD",0.0141,0.01242356,0.0019,0.0058326685
"BMI -> CAD",0.0104,0.0027554,0.0018,0.0055190199
"BMI -> CAD",0.0113,0.00389311,0.0019,0.0057589411
"BMI -> CAD",0.0142,0.01038247,0.0017,0.0049722393
"BMI -> CAD",0.0129,0.0068149,0.0018,0.0049417738
"BMI -> CAD",0.0164,0.00590076,0.0021,0.0067855561
"BMI -> CAD",0.0112,0.00823,0.0018,0.0050510549
"BMI -> CAD",0.0124,-0.0021705,0.0018,0.0049474131
"BMI -> CAD",0.0128,0.01108911,0.0017,0.0049092145
"BMI -> CAD",0.0153,0.02009089,0.0017,0.0049619544
"BMI -> CAD",0.0116,-0.03562692,0.0016,0.0049667764
"BMI -> CAD",0.0107,0.00120214,0.0018,0.0050233438
"BMI -> CAD",0.0134,-0.0073461,0.0016,0.0049772165
"BMI -> CAD",0.0122,0.0059121,0.0018,0.0049589659
"BMI -> CAD",0.0123,0.01890749,0.002,0.0056331786
"BMI -> CAD",0.0141,0.00891218,0.0024,0.0067938544
"BMI -> CAD",0.0175,0.0117258,0.0018,0.0053742063
"BMI -> CAD",0.0115,0.00119392,0.0018,0.0051529317
"BMI -> CAD",0.0181,0.00814223,0.0018,0.0049906224
"BMI -> CAD",0.0145,0.00071764,0.0019,0.0055254097
"BMI -> CAD",0.0166,0.00186229,0.0021,0.0058864109
"BMI -> CAD",0.0151,0.01368783,0.0027,0.0075849182
"BMI -> CAD",0.0232,0.00177259,0.0017,0.0050139502
"BMI -> CAD",0.0098,-0.00370227,0.0017,0.0053028543
"BMI -> CAD",0.012,0.00892797,0.0017,0.0049654819
"BMI -> CAD",0.0095,0.01566048,0.0017,0.0050780645
"BMI -> CAD",0.0134,0.01156963,0.002,0.0056503076
"BMI -> CAD",0.0155,0.00308587,0.0025,0.0066567884
"BMI -> CAD",0.0119,0.02587437,0.0017,0.0050900772
"BMI -> CAD",0.0135,-0.01672592,0.0019,0.0054738708
"BMI -> CAD",0.0266,0.02015774,0.0023,0.0063953181
"BMI -> CAD",0.0141,0.01442854,0.0018,0.0050229162
"BMI -> CAD",0.0115,0.00888873,0.0018,0.0050402517
"BMI -> CAD",0.0188,-0.00732243,0.0026,0.0081202021
"BMI -> CAD",0.0098,-0.00334061,0.0018,0.0051336101
"BMI -> CAD",0.02,0.00973728,0.0035,0.011165969
"BMI -> CAD",0.0223,0.02156606,0.0019,0.0053335141
"BMI -> CAD",0.017,0.01063932,0.0017,0.0049547018
"BMI -> CAD",0.015,0.01215153,0.0017,0.0050048834
"BMI -> CAD",0.0115,0.00122828,0.0017,0.0049329782
"BMI -> CAD",0.0097,-0.01578704,0.0017,0.0050433153
"BMI -> CAD",0.0129,-0.00726112,0.0018,0.0052628921
"BMI -> CAD",0.0127,-0.00778695,0.0022,0.0063061163
"BMI -> CAD",0.0331,0.00580522,0.0033,0.0091060932
"BMI -> CAD",0.0156,0.01591003,0.0018,0.0052124907
"BMI -> CAD",0.0217,0.00733974,0.0021,0.0065595659
"BMI -> CAD",0.0117,0.00334221,0.0019,0.0054798966
"BMI -> CAD",0.0197,3.386e-08,0.0024,0.0073294717
"BMI -> CAD",0.0141,-0.01122088,0.0024,0.0068159581
"BMI -> CAD",0.0172,0.000548,0.0019,0.0053524176
"BMI -> CAD",0.0122,0.00805394,0.0018,0.0052901982
"BMI -> CAD",0.0164,0.00641146,0.0021,0.0062877588
"BMI -> CAD",0.0219,0.00983592,0.0017,0.0051855033
"BMI -> CAD",0.0133,0.00330195,0.0024,0.0065749186
"BMI -> CAD",0.0158,0.01323135,0.0025,0.0072259885
"BMI -> CAD",0.0186,0.01257945,0.0016,0.0050616963
"BMI -> CAD",0.0169,0.01821844,0.0018,0.0051348612
"BMI -> CAD",0.0105,0.00544959,0.0019,0.0053660483
"BMI -> CAD",0.0125,-0.00031893,0.002,0.005600587
"BMI -> CAD",0.0103,-0.00094355,0.0017,0.0051596251
"BMI -> CAD",0.0104,-0.00829111,0.0018,0.0050511148
"BMI -> CAD",0.0117,0.01631333,0.0018,0.0054458775
"BMI -> CAD",0.0151,-0.01686018,0.0017,0.0050370509
"BMI -> CAD",0.0121,0.00778854,0.0017,0.005002907
"BMI -> CAD",0.0129,0.02590235,0.0019,0.0055694848
"BMI -> CAD",0.0141,0.01588886,0.0017,0.0050909929
"BMI -> CAD",0.0118,0.00646721,0.0017,0.0051859359
"BMI -> CAD",0.0103,-0.0012621,0.0017,0.0050630931
"BMI -> CAD",0.0115,-0.00393625,0.0019,0.0053201376
"BMI -> CAD",0.0181,0.00867681,0.0017,0.0050850408
"BMI -> CAD",0.0122,0.00655869,0.0017,0.0050336758
"BMI -> CAD",0.0109,0.00068291,0.0019,0.0050532887
"BMI -> CAD",0.0131,0.0063883,0.0018,0.0052553613
"BMI -> CAD",0.0118,0.00567202,0.002,0.0056623189
"BMI -> CAD",0.0116,0.00760487,0.0019,0.0054596789
"BMI -> CAD",0.0206,0.01482333,0.002,0.0058028435
"BMI -> CAD",0.0164,0.00625931,0.0016,0.0049951605
"BMI -> CAD",0.0137,0.00614901,0.0019,0.0052734274
"BMI -> CAD",0.0475,0.00744192,0.002,0.0061815594
"BMI -> CAD",0.0135,0.00774404,0.0018,0.005002142
"BMI -> CAD",0.0166,0.01510307,0.0017,0.0049835293
"BMI -> CAD",0.0147,-0.0018011,0.0017,0.0050756133
"BMI -> CAD",0.0343,0.03905678,0.0047,0.015258446
"BMI -> CAD",0.0107,-0.00392308,0.0017,0.0051320594
"BMI -> CAD",0.0175,0.00898277,0.0019,0.0055049072
"BMI -> CAD",0.0412,0.01983166,0.0021,0.0062869974
"BMI -> CAD",0.0116,0.0128392,0.0019,0.0057159424
"BMI -> CAD",0.0148,0.02868813,0.0021,0.0066864871
"BMI -> CAD",0.0167,0.00350183,0.0023,0.0062118868
"BMI -> CAD",0.0171,0.04422704,0.002,0.0058843187
"BMI -> CAD",0.0144,0.02399189,0.0019,0.0057913343
"BMI -> CAD",0.0156,0.00984303,0.0021,0.0064008252
"BMI -> CAD",0.014,0.00797418,0.002,0.0060423107
"BMI -> CAD",0.0142,-0.00923354,0.002,0.0063433395
"BMI -> CAD",0.0191,0.00963018,0.0017,0.0050527072
"BMI -> CAD",0.0181,0.00328098,0.0022,0.0070322349
"BMI -> CAD",0.0111,-0.00413511,0.0018,0.0051778056
"BMI -> CAD",0.0188,0.00602395,0.0017,0.0050338653
"BMI -> CAD",0.0173,0.00985044,0.002,0.0056870627
"BMI -> CAD",0.0118,0.01159346,0.0021,0.0066485624
"BMI -> CAD",0.0137,0.00904677,0.0018,0.0051986629
"BMI -> CAD",0.0545,0.02953938,0.0019,0.0056501872
"BMI -> CAD",0.01,-0.01228872,0.0018,0.0052176568
"BMI -> CAD",0.0192,-0.0098107,0.0023,0.0064676623
"BMI -> CAD",0.0138,0.01174363,0.0025,0.0071881191
"BMI -> CAD",0.0133,0.01542827,0.0022,0.0064280606
"BMI -> CAD",0.0116,0.00473251,0.0018,0.0051601012
"BMI -> CAD",0.0104,0.02022767,0.0019,0.0053701478
"BMI -> CAD",0.0112,-0.00067042,0.0018,0.0053882443
"BMI -> CAD",0.0104,0.00911653,0.0017,0.0052781115
"BMI -> CAD",0.0156,0.00708137,0.0017,0.0049372318
"BMI -> CAD",0.0113,0.0098465,0.0019,0.0053476168
"BMI -> CAD",0.0131,-0.00053351,0.0016,0.0049684253
"BMI -> CAD",0.0177,0.01420846,0.0017,0.0051875037
"BMI -> CAD",0.0138,0.01014044,0.002,0.0059353369
"BMI -> CAD",0.0166,0.00645097,0.0019,0.005244053
"BMI -> CAD",0.0193,0.01740065,0.0019,0.0053278718
"BMI -> CAD",0.0158,-0.01494275,0.0018,0.0052349262
"BMI -> CAD",0.0131,0.01918188,0.0022,0.0064404047
"BMI -> CAD",0.0263,-0.00380419,0.0016,0.0049852641
"BMI -> CAD",0.03,0.00922899,0.0017,0.0050400472
"BMI -> CAD",0.0282,0.00973914,0.002,0.0061054415
"BMI -> CAD",0.0117,0.00711248,0.0017,0.0049405751
"BMI -> CAD",0.0119,-0.00151158,0.0018,0.0049374859
"BMI -> CAD",0.0163,0.00852833,0.0018,0.0051116778
"BMI -> CAD",0.0129,0.0022215,0.0017,0.0049366511
"BMI -> CAD",0.0132,0.01518435,0.0019,0.0053012883
"BMI -> CAD",0.0115,-0.00485079,0.0018,0.005205271
"BMI -> CAD",0.0124,-0.00010344,0.0019,0.00554395
"BMI -> CAD",0.0122,-0.00160845,0.0017,0.0048903544
"BMI -> CAD",0.0101,0.02163977,0.0018,0.0054571795
"BMI -> CAD",0.0155,0.0021341,0.0018,0.0050652614
"BMI -> CAD",0.0121,0.00373253,0.0019,0.0054787661
"BMI -> CAD",0.0204,0.0063034,0.002,0.0055092117
"BMI -> CAD",0.0271,-0.00161443,0.0017,0.0050855451
"BMI -> CAD",0.0134,0.009373,0.0019,0.0057768075
"BMI -> CAD",0.0094,0.00247487,0.0017,0.0049005412
"BMI -> CAD",0.0152,0.0176592,0.0018,0.0054095495
"BMI -> CAD",0.0198,0.00978282,0.0027,0.0074218662
"BMI -> CAD",0.0649,-0.0252073,0.005,0.015381978
"BMI -> CAD",0.0184,0.00515563,0.0016,0.0049626932
"BMI -> CAD",0.016,0.01149979,0.0018,0.0051551446
"BMI -> CAD",0.0148,0.00583557,0.0017,0.0051145203
"BMI -> CAD",0.0186,0.01939627,0.0019,0.0058121713
"BMI -> CAD",0.0149,0.01764503,0.0024,0.0069113527
"BMI -> CAD",0.011,-0.00115672,0.0018,0.0051196038
"BMI -> CAD",0.0139,0.01088708,0.0019,0.0053658225
"BMI -> CAD",0.0136,0.0112754,0.0018,0.0054360934
"BMI -> CAD",0.0121,-0.0168818,0.0017,0.0049369927
"BMI -> CAD",0.0114,0.00416229,0.0017,0.0049430297
"BMI -> CAD",0.0101,0.00201065,0.0017,0.0049095684
"BMI -> CAD",0.0114,0.01530689,0.0018,0.0051249649
"BMI -> CAD",0.0254,-0.09664093,0.0027,0.0077620175
"BMI -> CAD",0.0099,-0.00573525,0.0017,0.0050911153
"BMI -> CAD",0.0103,0.0173529,0.0019,0.0055094138
"BMI -> CAD",0.0271,0.00711297,0.0041,0.011811098
"BMI -> CAD",0.0166,0.00756719,0.0016,0.0049870811
"BMI -> CAD",0.0119,0.00220614,0.0021,0.0058640318
"BMI -> CAD",0.0148,-0.0033665,0.0018,0.0053992863
"BMI -> CAD",0.0168,0.01142311,0.0018,0.0056278881
"BMI -> CAD",0.0153,0.00072386,0.0025,0.0071522758
"BMI -> CAD",0.0106,0.00282164,0.0018,0.0049814526
"BMI -> CAD",0.0126,0.01026063,0.0021,0.0060169847
"BMI -> CAD",0.0139,0.00091596,0.0018,0.0051187357
"BMI -> CAD",0.0157,-0.00078697,0.0017,0.0049422761
"BMI -> CAD",0.0107,0.00471884,0.0018,0.005182176
"BMI -> CAD",0.0104,-0.00033473,0.0017,0.0051314827
"BMI -> CAD",0.0123,-0.00749908,0.0018,0.0054466567
"BMI -> CAD",0.014,-0.00079688,0.0019,0.0054714223
"BMI -> CAD",0.0187,0.01226806,0.0024,0.0067813045
"BMI -> CAD",0.0331,0.00621535,0.0037,0.011757524
"BMI -> CAD",0.0181,-0.02927938,0.0018,0.0054146891
"BMI -> CAD",0.0147,0.0088182,0.0018,0.0049622257
"BMI -> CAD",0.0116,-0.00656022,0.0021,0.00590647
"BMI -> CAD",0.0112,0.01902927,0.0017,0.0050498189
"BMI -> CAD",0.0148,0.01935856,0.0017,0.0049539175
"BMI -> CAD",0.0108,0.00672081,0.0018,0.0050546859
"BMI -> CAD",0.0109,0.01256284,0.0017,0.0049249239
"BMI -> CAD",0.0642,0.01576289,0.0017,0.0049099086
"BMI -> CAD",0.012,0.00508701,0.0019,0.0053992437
"BMI -> CAD",0.0095,-0.00624885,0.0017,0.0050765752
"BMI -> CAD",0.0133,-0.00648584,0.0022,0.0062777119
"BMI -> CAD",0.02,0.00820612,0.0025,0.0069624399
"BMI -> CAD",0.0196,-0.00315991,0.0024,0.0073326559
"BMI -> CAD",0.0106,0.00050272,0.0019,0.0053572053
"BMI -> CAD",0.0152,-0.00106866,0.0018,0.005559569
"BMI -> CAD",0.0095,-0.00323476,0.0017,0.005019842
"BMI -> CAD",0.014,0.00431911,0.002,0.0056708273
"BMI -> CAD",0.0128,0.00212209,0.002,0.0058291052
"BMI -> CAD",0.0127,9.321e-05,0.002,0.0057421062
"BMI -> CAD",0.0151,0.00610764,0.0023,0.0067218953
"BMI -> CAD",0.0108,-0.00448906,0.002,0.0057764603
"BMI -> CAD",0.0231,-0.0041087,0.0018,0.0050943571
"BMI -> CAD",0.0196,0.01667833,0.0016,0.0052233064
"BMI -> CAD",0.0201,0.00902053,0.0023,0.0065960795
"BMI -> CAD",0.0146,0.00411563,0.0017,0.005065819
"BMI -> CAD",0.0103,0.0069471,0.0017,0.0051346023
"BMI -> CAD",0.0096,0.01066672,0.0017,0.0051815046
"BMI -> CAD",0.0147,-0.00689023,0.0016,0.0049422576
"BMI -> CAD",0.0103,0.00087472,0.0018,0.0052609717
"BMI -> CAD",0.0211,0.01440842,0.0023,0.0067022753
"BMI -> CAD",0.0229,0.020075,0.002,0.0057475595
"BMI -> CAD",0.0107,-0.00040594,0.002,0.0058626471
"BMI -> CAD",0.0112,0.01634953,0.0017,0.0049139506
"BMI -> CAD",0.0121,0.00146541,0.0018,0.0053759266
"BMI -> CAD",0.0115,-0.0185867,0.0019,0.0053119267
"BMI -> CAD",0.023,0.01627845,0.0042,0.010634995
"BMI -> CAD",0.0093,-0.00380618,0.0016,0.0048930786
"BMI -> CAD",0.0115,0.01428957,0.002,0.0057483372
"BMI -> CAD",0.0206,-0.00083329,0.0026,0.0072526052
"BMI -> CAD",0.0116,0.00395261,0.002,0.0055880999
"BMI -> CAD",0.0152,0.00928131,0.0023,0.0069975584
"BMI -> CAD",0.0127,0.01746383,0.0017,0.0049926705
"BMI -> CAD",0.0165,0.01081847,0.0023,0.0066721693
"BMI -> CAD",0.0192,0.01567307,0.0022,0.0062352717
"BMI -> CAD",0.01,-0.00246033,0.0017,0.0050181718
"BMI -> CAD",0.011,0.01536893,0.0017,0.0050140528
"BMI -> CAD",0.0137,0.03522585,0.0019,0.0055553431
"BMI -> CAD",0.0148,-0.00439443,0.0022,0.0060263101
"BMI -> CAD",0.0154,0.00788607,0.002,0.0054703263
"BMI -> CAD",0.0231,0.00182642,0.0035,0.010477416
"BMI -> CAD",0.0169,0.01205924,0.0017,0.0050149989
"BMI -> CAD",0.0091,-0.00794942,0.0017,0.0050639278
"BMI -> CAD",0.0208,0.01673283,0.0026,0.007821382
"BMI -> CAD",0.0323,0.00205419,0.0021,0.0063279574
"BMI -> CAD",0.0193,0.01723221,0.0024,0.0069103908
"BMI -> CAD",0.0105,0.00512121,0.0017,0.0049308718
"BMI -> CAD",0.0409,0.02798853,0.0021,0.0062567093
"BMI -> CAD",0.0258,-0.00425921,0.0021,0.006273848
"BMI -> CAD",0.0122,0.00541453,0.002,0.0057233535
"BMI -> CAD",0.0156,0.00080985,0.002,0.0058913818
"BMI -> CAD",0.0171,0.01139786,0.0022,0.007067181
"BMI -> CAD",0.0162,0.00540821,0.0017,0.0051481375
"BMI -> CAD",0.0108,0.00569843,0.0019,0.0056097689
"LDL -> CAD",0.0131259,-0.01132038,0.00217345,0.0073077719
"LDL -> CAD",0.013887,0.00904197,0.0017083,0.0060606096
"LDL -> CAD",0.0136301,0.01567348,0.00179818,0.0063674185
"LDL -> CAD",0.0104874,0.02065961,0.00140997,0.0050630344
"LDL -> CAD",0.0220445,0.00562342,0.00142603,0.0050386113
"LDL -> CAD",0.0214028,0.0021878,0.00328551,0.011686754
"LDL -> CAD",0.0223057,0.00966207,0.00171399,0.0061324349
"LDL -> CAD",0.0177685,-0.01332521,0.0018146,0.006353247
"LDL -> CAD",0.0102945,0.01090244,0.00141172,0.0049167672
"LDL -> CAD",0.030892,0.02400615,0.00201777,0.0072599922
"LDL -> CAD",0.0115162,0.00079532,0.00152729,0.0054074302
"LDL -> CAD",0.0135884,-0.00338266,0.00159695,0.0058625551
"LDL -> CAD",0.0122229,0.01056532,0.00209345,0.0070315917
"LDL -> CAD",0.0208132,0.01492942,0.00155842,0.0054631307
"LDL -> CAD",0.0097591,-0.00328445,0.00154733,0.0053783056
"LDL -> CAD",0.0117891,0.01922684,0.00188189,0.0064227599
"LDL -> CAD",0.0258481,-0.00172007,0.00138909,0.0048999615
"LDL -> CAD",0.0119292,-0.00263665,0.00142231,0.0049601251
"LDL -> CAD",0.00875979,-0.00251213,0.00155,0.006736371
"LDL -> CAD",0.0218674,0.06565047,0.0020187,0.0072883651
"LDL -> CAD",0.0718798,0.05293086,0.00182374,0.0065278424
"LDL -> CAD",0.0190751,0.00991983,0.00325709,0.01171926
"LDL -> CAD",0.0218031,0.03983563,0.00225008,0.0080605519
"LDL -> CAD",0.0260974,-0.01768079,0.00284853,0.0092854187
"LDL -> CAD",0.043375,-0.05824155,0.00653668,0.024992886
"LDL -> CAD",0.0888589,0.04915009,0.00371072,0.012615608
"LDL -> CAD",0.0091906,0.00862844,0.00159437,0.0056642191
"LDL -> CAD",0.0301192,0.02620243,0.00356446,0.012760421
"LDL -> CAD",0.0142732,0.0169034,0.00180053,0.0062535837
"LDL -> CAD",0.0109643,0.00441408,0.00142323,0.0052126887
"LDL -> CAD",0.0139398,0.02017663,0.0021344,0.0077001357
"LDL -> CAD",0.0113251,0.01401888,0.00169801,0.005985948
"LDL -> CAD",0.0135742,0.03349999,0.00221831,0.0079853639
"LDL -> CAD",0.0551049,0.06956866,0.00916703,0.03483062
"LDL -> CAD",0.010197,0.00367365,0.00171704,0.0061604652
"LDL -> CAD",0.0127,0.0146419,0.00195157,0.0072714044
"LDL -> CAD",0.223241,0.08394868,0.00382558,0.015708798
"LDL -> CAD",0.0130657,0.01891483,0.00200727,0.0071810308
"LDL -> CAD",0.0418186,0.04460375,0.00649898,0.024124769
"LDL -> CAD",0.157188,0.14519766,0.0247703,0.10474586
"LDL -> CAD",0.0449615,-0.01189652,0.00596221,0.019741552
"LDL -> CAD",0.0618605,0.06805888,0.0085739,0.034947716
"LDL -> CAD",0.0835384,0.08360015,0.00462313,0.016741576
"LDL -> CAD",0.0334713,0.02488397,0.00533103,0.01858725
"LDL -> CAD",0.0267129,-0.05336556,0.00235203,0.0087428846
"LDL -> CAD",0.0470676,0.04115097,0.00479393,0.018211402
"LDL -> CAD",0.0165038,0.02720916,0.0022549,0.0078080643
"LDL -> CAD",0.0283317,-0.01768474,0.00438073,0.015498465
"LDL -> CAD",0.0492575,-0.01672401,0.005885,0.020936595
"LDL -> CAD",0.0359217,0.05082669,0.00509548,0.018556952
"LDL -> CAD",0.0176563,0.02797408,0.00282248,0.010296116
"LDL -> CAD",0.0404129,0.06214997,0.00317615,0.009431025
"LDL -> CAD",0.0219774,0.00478447,0.00142294,0.0051956309
"LDL -> CAD",0.0144221,0.00099751,0.00154909,0.0055610447
"LDL -> CAD",0.0287002,0.00043067,0.00167895,0.0059460443
"LDL -> CAD",0.0511426,0.02366184,0.00366166,0.013222143
"LDL -> CAD",0.0358725,0.04857961,0.0014912,0.0052842462
"LDL -> CAD",0.0782787,-0.04543047,0.00642262,0.026003462
"LDL -> CAD",0.0118243,-0.00423094,0.00163478,0.005665061
"LDL -> CAD",0.0459407,0.01849277,0.00599266,0.024771483
"LDL -> CAD",0.037904,0.04521786,0.00587766,0.020784222
"LDL -> CAD",0.00818549,-0.00105971,0.00143473,0.0052365288
"LDL -> CAD",0.031086,-0.00172784,0.00415197,0.015470527
"LDL -> CAD",0.0231214,-0.006721,0.00146651,0.0052697714
"LDL -> CAD",0.0235557,0.00942394,0.00232397,0.0082334742
"LDL -> CAD",0.113646,0.30213624,0.00277251,0.010446472
"LDL -> CAD",0.0111241,0.01041589,0.00147305,0.0052270938
"LDL -> CAD",0.0137613,0.0013321,0.00156628,0.0055226756
"LDL -> CAD",0.0124671,-0.04019871,0.00175824,0.0066833247
"LDL -> CAD",0.0171653,0.01385501,0.00180179,0.0068898908
"LDL -> CAD",0.0277593,0.05542291,0.003005,0.010474194
"LDL -> CAD",0.0129269,0.02509504,0.00169858,0.0058281905
"LDL -> CAD",0.0364153,0.04995186,0.00551245,0.018956779
"LDL -> CAD",0.0117407,-0.00376872,0.00161291,0.0071724385
"LDL -> CAD",0.0240069,-0.00636732,0.00365594,0.012913652
"LDL -> CAD",0.0644647,0.02583762,0.00269768,0.010085431
"LDL -> CAD",0.0164797,0.01634328,0.00203348,0.0070943533
"LDL -> CAD",0.0115655,-0.01031351,0.00146541,0.0052350205
"LDL -> CAD",0.0325513,0.02594566,0.00267884,0.0090865485
"LDL -> CAD",0.018873,0.00570527,0.0019604,0.0068551801
"LDL -> CAD",0.00992896,0.00931721,0.00159069,0.0053649218
"LDL -> CAD",0.0176512,-0.04759244,0.00159409,0.0055477248
"LDL -> CAD",0.00886162,0.00934121,0.00146791,0.005161328
"LDL -> CAD",0.0180348,0.01796322,0.00175998,0.0061352396
"LDL -> CAD",0.0349877,0.0337059,0.00264871,0.0086850961
"LDL -> CAD",0.0306622,0.01635457,0.00141948,0.0050733084
"LDL -> CAD",0.0267572,0.01925541,0.00143656,0.0049759821
"LDL -> CAD",0.026633,0.00927559,0.0026376,0.0092337891
"LDL -> CAD",0.0353193,0.01897149,0.00143731,0.0050817176
"LDL -> CAD",0.015299,0.01046994,0.00158398,0.005598956
"LDL -> CAD",0.177943,0.08222724,0.00472943,0.016806279
"LDL -> CAD",0.0212882,-0.00599442,0.00159951,0.0057670837
"LDL -> CAD",0.302127,0.16823908,0.00774454,0.036907419
"LDL -> CAD",0.0125937,-0.010148,0.00142309,0.0050991372
"LDL -> CAD",0.00983617,-0.00384083,0.00140296,0.0049175226
"LDL -> CAD",0.0177676,0.02153439,0.00255433,0.0091562327
"LDL -> CAD",0.00892227,0.0218119,0.00140368,0.0049455798
"LDL -> CAD",0.0142034,0.01486425,0.00209432,0.0078651617
"LDL -> CAD",0.0089928,-0.011456,0.00154744,0.0054140757
"LDL -> CAD",0.00969097,0.0044433,0.00163248,0.0057705888
"LDL -> CAD",0.0245071,0.01282439,0.00159894,0.005789811
"LDL -> CAD",0.0182714,0.02461489,0.00146485,0.00513883
"LDL -> CAD",0.0107672,-0.00722717,0.00168982,0.0060147067
"LDL -> CAD",0.020952,0.02882546,0.00198805,0.0072856636
"LDL -> CAD",0.0379802,-0.00513669,0.00452552,0.017375763
"LDL -> CAD",0.0156411,0.01996162,0.00156988,0.0057101391
"LDL -> CAD",0.0165377,0.01789539,0.00156818,0.0055756222
"LDL -> CAD",0.0262537,-0.00092961,0.00397503,0.014467393
"LDL -> CAD",0.0195868,0.00258146,0.00172675,0.0063321446
"LDL -> CAD",0.0385015,0.05594099,0.00699172,0.026213395
"LDL -> CAD",0.0601532,0.08248659,0.0103301,0.043293039
"LDL -> CAD",0.187126,0.03966938,0.0118195,0.051412331
"LDL -> CAD",0.0145038,0.00310561,0.00206177,0.0074091343
"LDL -> CAD",0.163796,0.14134438,0.0177071,0.073180219
"LDL -> CAD",0.0137988,-0.00522463,0.00147717,0.0051671031
"LDL -> CAD",0.0378868,-0.02543023,0.0058722,0.022899121
"LDL -> CAD",0.187537,0.05567877,0.0331593,0.13369548
"LDL -> CAD",0.0235957,-0.00182388,0.00246775,0.0095642537
"LDL -> CAD",0.0896105,0.09436827,0.0146148,0.060681212
"LDL -> CAD",0.054927,0.00712867,0.00977269,0.053912922
"LDL -> CAD",0.346476,0.15329525,0.0163079,0.08529938
"LDL -> CAD",0.207575,0.47972594,0.00605609,0.02137107
"LDL -> CAD",0.0648204,0.17548314,0.0110942,0.054175686
"LDL -> CAD",0.0725318,0.05269518,0.00796181,0.031672861
"LDL -> CAD",0.0240255,0.03160664,0.0030723,0.011309669
"LDL -> CAD",0.233087,0.26208797,0.0321196,0.10758939
"LDL -> CAD",0.0894208,0.09118328,0.00642912,0.02731769
"LDL -> CAD",0.0109297,-0.00082409,0.00157384,0.0054362804
"LDL -> CAD",0.135009,0.03794416,0.0102755,0.034164017
"LDL -> CAD",0.112032,-0.05355126,0.012239,0.04612492
"LDL -> CAD",0.152417,0.0166046,0.00589349,0.02134047
"LDL -> CAD",0.134224,0.09082379,0.0233661,0.094127638
"LDL -> CAD",0.0413513,0.01479382,0.00732978,0.028158657
"LDL -> CAD",0.131833,0.04876665,0.0128418,0.044076934
"LDL -> CAD",0.0608044,-0.024289,0.00783228,0.032544645
"LDL -> CAD",0.0701631,0.0190187,0.00704105,0.02605369
"LDL -> CAD",0.0617877,0.05074482,0.00773829,0.030453944
"LDL -> CAD",0.047162,0.03065438,0.00654042,0.024283269
"LDL -> CAD",0.123584,0.23679169,0.0148419,0.16445663
"LDL -> CAD",0.0230509,0.01929617,0.00276217,0.0098392807
"LDL -> CAD",0.0708201,-0.01708433,0.012526,0.063000063
"LDL -> CAD",0.0290811,-0.01106766,0.00417575,0.015311859
"LDL -> CAD",0.0753541,0.06685656,0.0126715,0.0522059
"LDL -> CAD",0.0724105,0.04449995,0.0120116,0.040660445
"LDL -> CAD",0.0297385,0.01590236,0.00354558,0.012235826
"LDL -> CAD",0.191787,0.31827608,0.0242332,0.09283828
"LDL -> CAD",0.193012,0.05423936,0.0194277,0.066870061
"LDL -> CAD",0.0642211,0.05226206,0.00626596,0.022102625
"LDL -> CAD",0.123629,0.01696754,0.0221325,0.066699055
"LDL -> CAD",0.0136287,0.01219252,0.00141025,0.0049829072
"LDL -> CAD",0.0423421,0.0279016,0.00238341,0.0088989977
"LDL -> CAD",0.0297667,-0.00250116,0.00382611,0.014932911
"LDL -> CAD",0.00927654,-0.0002454,0.00139218,0.0049137812
"LDL -> CAD",0.0168848,0.00138339,0.00140839,0.0050385884
"LDL -> CAD",0.00989616,0.0171207,0.00181285,0.0063739952
"LDL -> CAD",0.0112846,-0.00826412,0.00153404,0.0053734455
"LDL -> CAD",0.0138569,-0.00083841,0.00143531,0.0050370805
"LDL -> CAD",0.0195809,0.00838945,0.00257382,0.0089742813
"LDL -> CAD",0.00850125,0.00150216,0.00142443,0.0051687819
"LDL -> CAD",0.0144266,0.01191262,0.00147894,0.0052185282
"LDL -> CAD",0.114341,0.10941872,0.00641661,0.022076735
"LDL -> CAD",0.0228383,0.00684172,0.00144725,0.005126411
"LDL -> CAD",0.0153532,-0.00286693,0.00190294,0.006777082
"LDL -> CAD",0.0709637,0.03875786,0.00160713,0.0057844098
"LDL -> CAD",0.0379882,0.03999032,0.00253634,0.0093474192
"LDL -> CAD",0.116795,0.05089258,0.0202056,0.10057761
"LDL -> CAD",0.0149335,0.00362075,0.0022689,0.0081057415
"LDL -> CAD",0.0429432,0.01130104,0.00145569,0.0052059544
"LDL -> CAD",0.0268457,0.00772058,0.00233191,0.0088784526
"LDL -> CAD",0.0193589,0.00944477,0.00271228,0.010117877
"LDL -> CAD",0.0498131,-0.0078861,0.00361468,0.013701806
